,date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url
10697,2/14/21,2292,1739,8.2,4297,Human,Male,Light,3,"['Stringy Hair', 'Shadow Beard', 'Eye Patch']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4297.png
14601,5/6/21,2292,3851,38,4298,Human,Male,Albino,4,"['Earring', 'Knitted Cap', 'Smile', 'Regular Shades']",#F2DC5D,https://www.larvalabs.com/cryptopunks/cryptopunk4298.png
11718,2/21/21,2292,5555,15,4299,Human,Male,Medium,2,"['Messy Hair', 'Muttonchops']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4299.png
11719,8/2/21,5555,4961,34.95,4299,Human,Male,Medium,2,"['Messy Hair', 'Muttonchops']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4299.png
11720,1/25/22,3096,4524,73.95,4299,Human,Male,Medium,2,"['Messy Hair', 'Muttonchops']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4299.png
11721,1/30/22,4524,2642,80.5,4299,Human,Male,Medium,2,"['Messy Hair', 'Muttonchops']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4299.png
11722,2/9/22,3096,3622,67.45,4299,Human,Male,Medium,2,"['Messy Hair', 'Muttonchops']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4299.png
11530,2/21/21,2292,3869,33,4300,Human,Female,Dark,2,"['Mole', 'Pink With Hat']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4300.png
11531,4/9/21,3869,2925,38,4300,Human,Female,Dark,2,"['Mole', 'Pink With Hat']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4300.png
5451,9/13/19,1303,620,0.45,4303,Human,Male,Medium,3,"['Muttonchops', 'Do-rag', 'Small Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4303.png
5452,9/20/20,620,2599,2,4303,Human,Male,Medium,3,"['Muttonchops', 'Do-rag', 'Small Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4303.png
5453,1/26/21,6327,1048,4.2,4303,Human,Male,Medium,3,"['Muttonchops', 'Do-rag', 'Small Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4303.png
5454,1/27/21,1048,3710,5,4303,Human,Male,Medium,3,"['Muttonchops', 'Do-rag', 'Small Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4303.png
5455,2/13/21,3710,1448,6.2,4303,Human,Male,Medium,3,"['Muttonchops', 'Do-rag', 'Small Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4303.png
5456,3/8/21,1448,3943,20.1,4303,Human,Male,Medium,3,"['Muttonchops', 'Do-rag', 'Small Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4303.png
387,7/2/17,2794,5648,0.2,4305,Human,Female,Medium,3,"['Cap', 'Black Lipstick', 'Purple Eye Shadow']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4305.png
5966,1/4/20,1303,1892,0.48,4306,Human,Female,Light,2,"['Stringy Hair', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4306.png
5967,4/9/21,4801,3207,19.98,4306,Human,Female,Light,2,"['Stringy Hair', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4306.png
5968,8/7/21,3207,5397,49,4306,Human,Female,Light,2,"['Stringy Hair', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4306.png
5969,8/7/21,2895,1291,0,4306,Human,Female,Light,2,"['Stringy Hair', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4306.png
373,7/2/17,2794,271,0.2,4307,Human,Male,Medium,4,"['Shadow Beard', 'Earring', 'Knitted Cap', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4307.png
7163,5/18/20,1303,1381,1.1,4310,Human,Female,Light,3,"['Messy Hair', 'Classic Shades', 'Purple Lipstick']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4310.png
7164,8/26/21,4273,2215,86,4310,Human,Female,Light,3,"['Messy Hair', 'Classic Shades', 'Purple Lipstick']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4310.png
7165,8/26/21,1381,4273,79,4310,Human,Female,Light,3,"['Messy Hair', 'Classic Shades', 'Purple Lipstick']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk4310.png
8404,9/13/20,1303,2424,1.4,4311,Human,Male,Dark,3,"['Frown', 'Nerd Glasses', 'Mohawk Dark']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4311.png
8405,9/22/20,2424,3661,1.85,4311,Human,Male,Dark,3,"['Frown', 'Nerd Glasses', 'Mohawk Dark']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk4311.png
5322,9/2/19,5223,1892,0.25,4312,Human,Male,Medium,3,"['Big Shades', 'Chinstrap', 'Headband']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4312.png
5323,12/26/19,1892,5952,0.5,4312,Human,Male,Medium,3,"['Big Shades', 'Chinstrap', 'Headband']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4312.png
5324,2/9/21,570,2248,6.6,4312,Human,Male,Medium,3,"['Big Shades', 'Chinstrap', 'Headband']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4312.png
5325,3/10/21,5756,2154,18.99,4312,Human,Male,Medium,3,"['Big Shades', 'Chinstrap', 'Headband']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4312.png
